"Place","Median Household Income (Dollars)","Percent Foreign Born","Percent Living Below 200% Poverty Level","Percent Who Only Speak English at Home","Percent Who Speak Spanish at Home","Percent of Children Living in Poverty","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Life Expectancy at Birth (Years)","Percent Unemployed","Percent of Adults Who Are Obese","Percent of Adults Who Currently Smoke","Percent of Low Birth Weight Babies Born","Percent of Population with a Disability","Tuberculosis Incidence Rate (Per 100,000 people)","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Gonorrhea Rate (Per 100,000 People)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Percent of High School Students Who Are Obese"
"Oakland (Alameda County), CA",57129,27.340000000000003,29.525,59.22,22.38,17.275000000000002,194.07142857142858,167.7714285714286,5.760000000000002,78.11666666666667,10.3,22.6,12.060000000000002,7.4714285714285715,9.319999999999999,9.333333333333334,847.1166666666668,101.3,31.24285714285715,6.433333333333333,22.166666666666664,186.7,20.57142857142857,44.000000000000014,8.22857142857143,2.7142857142857144,13.8
"Philadelphia, PA",38789.4,13.14,36.35,77.62,10.28,22.95,201.02857142857144,214.72857142857146,9,78.68,14.166666666666668,29.885714285714286,23.36666666666667,10.816666666666668,15.82,5.585714285714285,878.0714285714286,97.63333333333335,23.428571428571427,2.3,18.528571428571432,431.3571428571429,18.183333333333337,54.5,6.866666666666668,4.642857142857143,15.2
"Phoenix, AZ",47839.4,19.94,32.75,62.54,31.18,22.599999999999998,103.875,102.04999999999998,6.449999999999999,80,8.95,25.03333333333333,15.600000000000001,7.375,9.82,5.380000000000001,513.7,60.2,19.875,0.5,13.633333333333333,140.2375,7.633333333333333,26.424999999999997,9.35,3.05,13.8
"Portland (Multnomah County), OR",58506.66666666666,13.866666666666665,15,80.16666666666667,8.2,3.65,166.46666666666667,145.56666666666666,4.640000000000001,79.41666666666666,8.825,22.35,16.85,6.366666666666667,12.479999999999999,3.5,739.0166666666667,97.63333333333335,24.683333333333337,9.2,8.866666666666667,153.76,3.3999999999999995,40.98333333333334,6.000000000000001,7.840000000000001,13.6
"San Antonio, TX",46879.8,14.299999999999999,29.849999999999994,55.699999999999996,40.5,17.14,144.15,254.59999999999997,5.95,79.4,7.933333333333333,32.53333333333333,15.879999999999999,9.016666666666667,13.98,4.7,745.0166666666665,97.63333333333335,24.733333333333334,2.3,9.35,190.02499999999998,5.95,24.300000000000004,8.883333333333333,7.383333333333335,14.4
"San Diego County, CA",68022.25,23.725,19.266666666666666,62.14000000000001,24.920000000000005,7.624999999999999,152.45714285714286,139.82857142857142,4.0200000000000005,82.06666666666668,8.7,22.61666666666667,13,6.46,9.600000000000001,7.314285714285714,609.1142857142858,31.275,19.314285714285717,0.28,6.233333333333334,96.65714285714286,2.8714285714285714,32.728571428571435,6.628571428571429,4.642857142857143,11.899999999999999
"San Francisco, CA",86292.40000000001,34.940000000000005,20.074999999999996,56.019999999999996,11.08,7.92,148.55,141.5,6,82,6.95,12.6,12.075,7,10.64,13.55,580.65,97.63333333333335,13.2,2.3,4.75,186.7,4.85,34.25,3.2,4.642857142857143,8.333333333333332
"San Jose, CA",88333.6,39.099999999999994,19.3,43.120000000000005,23.54,7.96,153.16666666666666,128.1,3.35,78.68,8.633333333333333,22,16.85,6.999999999999999,8.219999999999999,11.55,745.0166666666665,97.63333333333335,30.066666666666666,2.3,5.3999999999999995,71.78571428571429,4.833333333333333,32.23333333333333,6.366666666666666,4.642857142857143,20
"Seattle, WA",73889,18.120000000000005,19.15,78.24,4.319999999999999,7.340000000000001,148.7,120.88333333333333,4.075,82.41666666666669,5.433333333333334,19.41666666666667,12.133333333333333,6.3999999999999995,9.1,7.859999999999999,589.7833333333334,97.63333333333335,18.983333333333334,2.3,6.183333333333334,186.7,2.9,32.31666666666668,3.72,4.642857142857143,5.3999999999999995
"U.S. Total, U.S. Total",52324.75,13.3,23.6,78.80000000000001,13.139999999999999,12.75,165.20000000000002,168.95,6,78.76,8.333333333333334,28.074999999999996,17.975,8.060000000000002,12.32,3.1333333333333333,730.5999999999999,97.63333333333335,21.16666666666667,2.55,10.433333333333334,186.7,5.34,44.083333333333336,11.15,4.460000000000001,13.8
"Washington, DC",71387.40000000001,14.04,24.85,82.63999999999999,8.7,12.860000000000001,178.86666666666667,211.1,7.766666666666666,77.5,9.866666666666667,22.866666666666667,19.733333333333334,10.133333333333333,11.219999999999999,6.833333333333334,745.0166666666665,97.63333333333335,24.833333333333332,2.3,11.7,453.76666666666677,14.733333333333334,39.599999999999994,5.866666666666666,2.4,14.8
